meter,date,hour,electricity,temperature,install_date
J,2016-01-17,0,2544,56,2017-04-15
J,2016-01-17,1,2472,56,2017-04-15
J,2016-01-17,2,2360,56,2017-04-15
J,2016-01-17,3,2312,53,2017-04-15
J,2016-01-17,4,2248,52,2017-04-15
J,2016-01-17,5,2256,51,2017-04-15
J,2016-01-17,6,2336,51,2017-04-15
J,2016-01-17,7,2416,51,2017-04-15
J,2016-01-17,8,2424,56,2017-04-15
J,2016-01-17,9,2488,59,2017-04-15
J,2016-01-17,10,2656,65,2017-04-15
J,2016-01-17,11,2848,70,2017-04-15
J,2016-01-17,12,2864,76,2017-04-15
J,2016-01-17,13,3064,78,2017-04-15
J,2016-01-17,14,3040,69,2017-04-15
J,2016-01-17,15,2848,64,2017-04-15
J,2016-01-17,16,2840,64,2017-04-15
J,2016-01-17,17,2816,61,2017-04-15
J,2016-01-17,18,2816,59,2017-04-15
J,2016-01-17,19,2816,59,2017-04-15
J,2016-01-17,20,2848,60,2017-04-15
J,2016-01-17,21,2712,61,2017-04-15
J,2016-01-17,22,2680,61,2017-04-15
J,2016-01-17,23,2640,61,2017-04-15
J,2016-01-18,0,2608,58,2017-04-15
J,2016-01-18,1,2584,58,2017-04-15
J,2016-01-18,2,2560,59,2017-04-15
J,2016-01-18,3,2496,59,2017-04-15
J,2016-01-18,4,2512,60,2017-04-15
J,2016-01-18,5,2592,59,2017-04-15
J,2016-01-18,6,2640,57,2017-04-15
J,2016-01-18,7,2608,57,2017-04-15
J,2016-01-18,8,2624,57,2017-04-15
J,2016-01-18,9,2696,60,2017-04-15
J,2016-01-18,10,2752,62,2017-04-15
J,2016-01-18,11,2776,62,2017-04-15
J,2016-01-18,12,2824,63,2017-04-15
J,2016-01-18,13,2880,65,2017-04-15
J,2016-01-18,14,2904,64,2017-04-15
J,2016-01-18,15,2872,63,2017-04-15
J,2016-01-18,16,2848,62,2017-04-15
J,2016-01-18,17,2840,61,2017-04-15
J,2016-01-18,18,2864,61,2017-04-15
J,2016-01-18,19,2912,61,2017-04-15
J,2016-01-18,20,2832,61,2017-04-15
J,2016-01-18,21,2744,61,2017-04-15
J,2016-01-18,22,2736,60,2017-04-15
J,2016-01-18,23,2704,60,2017-04-15
J,2016-01-19,0,2680,59,2017-04-15
J,2016-01-19,1,2664,58,2017-04-15
J,2016-01-19,2,2592,57,2017-04-15
J,2016-01-19,3,2560,55,2017-04-15
J,2016-01-19,4,2552,55,2017-04-15
J,2016-01-19,5,2520,53,2017-04-15
J,2016-01-19,6,2488,52,2017-04-15
J,2016-01-19,7,2464,50,2017-04-15
J,2016-01-19,8,2504,56,2017-04-15
J,2016-01-19,9,2624,60,2017-04-15
J,2016-01-19,10,2744,64,2017-04-15
J,2016-01-19,11,2824,65,2017-04-15
J,2016-01-19,12,3000,65,2017-04-15
