meter,date,hour,electricity,temperature,install_date
J,1/17/2016,0,2544,56,4/15/2017
J,1/17/2016,1,2472,56,4/15/2017
J,1/17/2016,2,2360,56,4/15/2017
J,1/17/2016,3,2312,53,4/15/2017
J,1/17/2016,4,2248,52,4/15/2017
J,1/17/2016,5,2256,51,4/15/2017
J,1/17/2016,6,2336,51,4/15/2017
J,1/17/2016,7,2416,51,4/15/2017
J,1/17/2016,8,2424,56,4/15/2017
J,1/17/2016,9,2488,59,4/15/2017
J,1/17/2016,10,2656,65,4/15/2017
J,1/17/2016,11,2848,70,4/15/2017
J,1/17/2016,12,2864,76,4/15/2017
J,1/17/2016,13,3064,78,4/15/2017
J,1/17/2016,14,3040,69,4/15/2017
J,1/17/2016,15,2848,64,4/15/2017
J,1/17/2016,16,2840,64,4/15/2017
J,1/17/2016,17,2816,61,4/15/2017
J,1/17/2016,18,2816,59,4/15/2017
J,1/17/2016,19,2816,59,4/15/2017
J,1/17/2016,20,2848,60,4/15/2017
J,1/17/2016,21,2712,61,4/15/2017
J,1/17/2016,22,2680,61,4/15/2017
J,1/17/2016,23,2640,61,4/15/2017
J,1/18/2016,0,2608,58,4/15/2017
J,1/18/2016,1,2584,58,4/15/2017
J,1/18/2016,2,2560,59,4/15/2017
J,1/18/2016,3,2496,59,4/15/2017
J,1/18/2016,4,2512,60,4/15/2017
J,1/18/2016,5,2592,59,4/15/2017
J,1/18/2016,6,2640,57,4/15/2017
J,1/18/2016,7,2608,57,4/15/2017
J,1/18/2016,8,2624,57,4/15/2017
J,1/18/2016,9,2696,60,4/15/2017
J,1/18/2016,10,2752,62,4/15/2017
J,1/18/2016,11,2776,62,4/15/2017
J,1/18/2016,12,2824,63,4/15/2017
J,1/18/2016,13,2880,65,4/15/2017
J,1/18/2016,14,2904,64,4/15/2017
J,1/18/2016,15,2872,63,4/15/2017
J,1/18/2016,16,2848,62,4/15/2017
J,1/18/2016,17,2840,61,4/15/2017
J,1/18/2016,18,2864,61,4/15/2017
J,1/18/2016,19,2912,61,4/15/2017
J,1/18/2016,20,2832,61,4/15/2017
J,1/18/2016,21,2744,61,4/15/2017
J,1/18/2016,22,2736,60,4/15/2017
J,1/18/2016,23,2704,60,4/15/2017
J,1/19/2016,0,2680,59,4/15/2017
J,1/19/2016,1,2664,58,4/15/2017
J,1/19/2016,2,2592,57,4/15/2017
J,1/19/2016,3,2560,55,4/15/2017
J,1/19/2016,4,2552,55,4/15/2017
J,1/19/2016,5,2520,53,4/15/2017
J,1/19/2016,6,2488,52,4/15/2017
J,1/19/2016,7,2464,50,4/15/2017
J,1/19/2016,8,2504,56,4/15/2017
J,1/19/2016,9,2624,60,4/15/2017
J,1/19/2016,10,2744,64,4/15/2017
J,1/19/2016,11,2824,65,4/15/2017
J,1/19/2016,12,3000,65,4/15/2017
J,1/19/2016,13,2952,65,4/15/2017
J,1/19/2016,14,2912,64,4/15/2017
J,1/19/2016,15,2872,63,4/15/2017
J,1/19/2016,16,2888,63,4/15/2017
J,1/19/2016,17,2888,62,4/15/2017
J,1/19/2016,18,2912,62,4/15/2017
J,1/19/2016,19,2928,61,4/15/2017
J,1/19/2016,20,2848,61,4/15/2017
J,1/19/2016,21,2776,61,4/15/2017
J,1/19/2016,22,2744,61,4/15/2017
J,1/19/2016,23,2736,61,4/15/2017
J,1/20/2016,0,2696,60,4/15/2017
J,1/20/2016,1,2672,60,4/15/2017
J,1/20/2016,2,2664,61,4/15/2017
J,1/20/2016,3,2656,60,4/15/2017
J,1/20/2016,4,2688,58,4/15/2017
J,1/20/2016,5,2736,58,4/15/2017
J,1/20/2016,6,2800,59,4/15/2017
J,1/20/2016,7,2840,60,4/15/2017
J,1/20/2016,8,2904,62,4/15/2017
J,1/20/2016,9,2944,65,4/15/2017
J,1/20/2016,10,3024,67,4/15/2017
J,1/20/2016,11,3048,69,4/15/2017
J,1/20/2016,12,3088,68,4/15/2017
J,1/20/2016,13,3120,68,4/15/2017
J,1/20/2016,14,3176,68,4/15/2017
J,1/20/2016,15,3136,67,4/15/2017
J,1/20/2016,16,3088,64,4/15/2017
J,1/20/2016,17,3032,62,4/15/2017
J,1/20/2016,18,2968,61,4/15/2017
J,1/20/2016,19,2960,61,4/15/2017
J,1/20/2016,20,2912,62,4/15/2017
J,1/20/2016,21,2800,62,4/15/2017
J,1/20/2016,22,2792,61,4/15/2017
J,1/20/2016,23,2744,61,4/15/2017
J,1/21/2016,0,2672,60,4/15/2017
J,1/21/2016,1,2616,59,4/15/2017
J,1/21/2016,2,2536,59,4/15/2017
J,1/21/2016,3,2472,57,4/15/2017
J,1/21/2016,4,2424,56,4/15/2017
J,1/21/2016,5,2408,57,4/15/2017
J,1/21/2016,6,2360,56,4/15/2017
J,1/21/2016,7,2416,55,4/15/2017
J,1/21/2016,8,2472,55,4/15/2017
J,1/21/2016,9,2584,56,4/15/2017
J,1/21/2016,10,2656,59,4/15/2017
J,1/21/2016,11,2800,69,4/15/2017
J,1/21/2016,12,2824,74,4/15/2017
J,1/21/2016,13,2880,76,4/15/2017
J,1/21/2016,14,2784,73,4/15/2017
J,1/21/2016,15,2736,76,4/15/2017
J,1/21/2016,16,2680,73,4/15/2017
J,1/21/2016,17,2608,66,4/15/2017
J,1/21/2016,18,2536,61,4/15/2017
J,1/21/2016,19,2624,59,4/15/2017
J,1/21/2016,20,2560,59,4/15/2017
J,1/21/2016,21,2440,58,4/15/2017
J,1/21/2016,22,2392,57,4/15/2017
J,1/21/2016,23,2328,56,4/15/2017
J,1/22/2016,0,2296,54,4/15/2017
J,1/22/2016,1,2264,52,4/15/2017
J,1/22/2016,2,2216,54,4/15/2017
J,1/22/2016,3,2168,53,4/15/2017
J,1/22/2016,4,2208,54,4/15/2017
J,1/22/2016,5,2192,52,4/15/2017
J,1/22/2016,6,2272,49,4/15/2017
J,1/22/2016,7,2304,51,4/15/2017
J,1/22/2016,8,2408,57,4/15/2017
J,1/22/2016,9,2472,60,4/15/2017
J,1/22/2016,10,2640,63,4/15/2017
J,1/22/2016,11,2712,66,4/15/2017
J,1/22/2016,12,2728,71,4/15/2017
J,1/22/2016,13,2776,73,4/15/2017
J,1/22/2016,14,2760,68,4/15/2017
J,1/22/2016,15,2696,67,4/15/2017
J,1/22/2016,16,2640,65,4/15/2017
J,1/22/2016,17,2616,62,4/15/2017
J,1/22/2016,18,2632,60,4/15/2017
J,1/22/2016,19,2688,56,4/15/2017
J,1/22/2016,20,2664,56,4/15/2017
J,1/22/2016,21,2696,58,4/15/2017
J,1/22/2016,22,2632,59,4/15/2017
J,1/22/2016,23,2576,59,4/15/2017
J,1/23/2016,0,2504,58,4/15/2017
J,1/23/2016,1,2512,58,4/15/2017
J,1/23/2016,2,2376,56,4/15/2017
J,1/23/2016,3,2328,55,4/15/2017
J,1/23/2016,4,2248,53,4/15/2017
J,1/23/2016,5,2256,52,4/15/2017
J,1/23/2016,6,2296,52,4/15/2017
J,1/23/2016,7,2272,53,4/15/2017
J,1/23/2016,8,2352,54,4/15/2017
J,1/23/2016,9,2440,60,4/15/2017
J,1/23/2016,10,2680,62,4/15/2017
J,1/23/2016,11,2776,63,4/15/2017
J,1/23/2016,12,2744,66,4/15/2017
J,1/23/2016,13,2768,65,4/15/2017
J,1/23/2016,14,2776,64,4/15/2017
J,1/23/2016,15,2808,63,4/15/2017
J,1/23/2016,16,2808,63,4/15/2017
J,1/23/2016,17,2768,62,4/15/2017
J,1/23/2016,18,2840,61,4/15/2017
J,1/23/2016,19,2896,62,4/15/2017
J,1/23/2016,20,2808,61,4/15/2017
J,1/23/2016,21,2656,59,4/15/2017
J,1/23/2016,22,2560,55,4/15/2017
J,1/23/2016,23,2512,55,4/15/2017
J,1/24/2016,0,2480,54,4/15/2017
J,1/24/2016,1,2472,55,4/15/2017
J,1/24/2016,2,2392,52,4/15/2017
J,1/24/2016,3,2392,51,4/15/2017
J,1/24/2016,4,2368,54,4/15/2017
J,1/24/2016,5,2344,53,4/15/2017
J,1/24/2016,6,2304,51,4/15/2017
J,1/24/2016,7,2320,51,4/15/2017
J,1/24/2016,8,2344,55,4/15/2017
J,1/24/2016,9,2376,59,4/15/2017
J,1/24/2016,10,2424,62,4/15/2017
J,1/24/2016,11,2464,63,4/15/2017
J,1/24/2016,12,2544,66,4/15/2017
J,1/24/2016,13,2624,66,4/15/2017
J,1/24/2016,14,2544,66,4/15/2017
J,1/24/2016,15,2624,66,4/15/2017
J,1/24/2016,16,2632,64,4/15/2017
J,1/24/2016,17,2496,60,4/15/2017
J,1/24/2016,18,2472,57,4/15/2017
J,1/24/2016,19,2536,56,4/15/2017
J,1/24/2016,20,2456,52,4/15/2017
J,1/24/2016,21,2264,50,4/15/2017
J,1/24/2016,22,2240,49,4/15/2017
J,1/24/2016,23,2200,50,4/15/2017
J,1/25/2016,0,2184,51,4/15/2017
J,1/25/2016,1,2192,49,4/15/2017
J,1/25/2016,2,2152,48,4/15/2017
J,1/25/2016,3,2144,49,4/15/2017
J,1/25/2016,4,2152,49,4/15/2017
J,1/25/2016,5,2184,48,4/15/2017
J,1/25/2016,6,2224,48,4/15/2017
J,1/25/2016,7,2280,48,4/15/2017
J,1/25/2016,8,2312,52,4/15/2017
J,1/25/2016,9,2400,59,4/15/2017
J,1/25/2016,10,2544,62,4/15/2017
J,1/25/2016,11,2680,65,4/15/2017
J,1/25/2016,12,2728,68,4/15/2017
J,1/25/2016,13,2760,69,4/15/2017
J,1/25/2016,14,2760,67,4/15/2017
J,1/25/2016,15,2656,67,4/15/2017
J,1/25/2016,16,2664,64,4/15/2017
J,1/25/2016,17,2608,62,4/15/2017
J,1/25/2016,18,2608,59,4/15/2017
J,1/25/2016,19,2608,59,4/15/2017
J,1/25/2016,20,2584,59,4/15/2017
J,1/25/2016,21,2416,56,4/15/2017
J,1/25/2016,22,2336,53,4/15/2017
J,1/25/2016,23,2288,52,4/15/2017
J,1/26/2016,0,2208,51,4/15/2017
J,1/26/2016,1,2160,52,4/15/2017
J,1/26/2016,2,2120,51,4/15/2017
J,1/26/2016,3,2136,50,4/15/2017
J,1/26/2016,4,2176,52,4/15/2017
J,1/26/2016,5,2184,50,4/15/2017
J,1/26/2016,6,2344,48,4/15/2017
J,1/26/2016,7,2360,50,4/15/2017
J,1/26/2016,8,2448,57,4/15/2017
J,1/26/2016,9,2560,63,4/15/2017
J,1/26/2016,10,2624,67,4/15/2017
J,1/26/2016,11,2696,74,4/15/2017
J,1/26/2016,12,2696,73,4/15/2017
J,1/26/2016,13,2712,73,4/15/2017
J,1/26/2016,14,2784,74,4/15/2017
J,1/26/2016,15,2672,69,4/15/2017
J,1/26/2016,16,2648,69,4/15/2017
J,1/26/2016,17,2552,67,4/15/2017
J,1/26/2016,18,2568,63,4/15/2017
J,1/26/2016,19,2624,60,4/15/2017
J,1/26/2016,20,2568,56,4/15/2017
J,1/26/2016,21,2400,56,4/15/2017
J,1/26/2016,22,2352,51,4/15/2017
J,1/26/2016,23,2384,50,4/15/2017
J,1/27/2016,0,2336,48,4/15/2017
J,1/27/2016,1,2248,50,4/15/2017
J,1/27/2016,2,2288,51,4/15/2017
J,1/27/2016,3,2264,52,4/15/2017
J,1/27/2016,4,2264,50,4/15/2017
J,1/27/2016,5,2320,52,4/15/2017
J,1/27/2016,6,2408,49,4/15/2017
J,1/27/2016,7,2456,51,4/15/2017
J,1/27/2016,8,2512,56,4/15/2017
J,1/27/2016,9,2560,67,4/15/2017
J,1/27/2016,10,2648,69,4/15/2017
J,1/27/2016,11,2720,75,4/15/2017
J,1/27/2016,12,2664,74,4/15/2017
J,1/27/2016,13,2664,69,4/15/2017
J,1/27/2016,14,2664,68,4/15/2017
J,1/27/2016,15,2656,70,4/15/2017
J,1/27/2016,16,2624,70,4/15/2017
J,1/27/2016,17,2576,67,4/15/2017
J,1/27/2016,18,2584,65,4/15/2017
J,1/27/2016,19,2632,61,4/15/2017
J,1/27/2016,20,2600,56,4/15/2017
J,1/27/2016,21,2376,55,4/15/2017
J,1/27/2016,22,2384,53,4/15/2017
J,1/27/2016,23,2336,51,4/15/2017
J,1/28/2016,0,2320,54,4/15/2017
J,1/28/2016,1,2288,49,4/15/2017
J,1/28/2016,2,2208,51,4/15/2017
J,1/28/2016,3,2240,51,4/15/2017
J,1/28/2016,4,2200,52,4/15/2017
J,1/28/2016,5,2304,51,4/15/2017
J,1/28/2016,6,2384,48,4/15/2017
J,1/28/2016,7,2328,51,4/15/2017
J,1/28/2016,8,2440,52,4/15/2017
J,1/28/2016,9,2464,64,4/15/2017
J,1/28/2016,10,2616,68,4/15/2017
J,1/28/2016,11,2712,71,4/15/2017
J,1/28/2016,12,2744,74,4/15/2017
J,1/28/2016,13,2792,76,4/15/2017
J,1/28/2016,14,2664,73,4/15/2017
J,1/28/2016,15,2648,70,4/15/2017
J,1/28/2016,16,2680,72,4/15/2017
J,1/28/2016,17,2488,63,4/15/2017
J,1/28/2016,18,2480,55,4/15/2017
J,1/28/2016,19,2560,58,4/15/2017
J,1/28/2016,20,2568,53,4/15/2017
J,1/28/2016,21,2344,54,4/15/2017
J,1/28/2016,22,2256,57,4/15/2017
J,1/28/2016,23,2240,55,4/15/2017
J,1/29/2016,0,2184,54,4/15/2017
J,1/29/2016,1,2200,50,4/15/2017
J,1/29/2016,2,2120,51,4/15/2017
J,1/29/2016,3,2168,55,4/15/2017
J,1/29/2016,4,2192,50,4/15/2017
J,1/29/2016,5,2200,49,4/15/2017
J,1/29/2016,6,2280,49,4/15/2017
J,1/29/2016,7,2336,50,4/15/2017
J,1/29/2016,8,2416,58,4/15/2017
J,1/29/2016,9,2504,65,4/15/2017
J,1/29/2016,10,2672,69,4/15/2017
J,1/29/2016,11,2792,71,4/15/2017
J,1/29/2016,12,2792,74,4/15/2017
J,1/29/2016,13,2800,75,4/15/2017
J,1/29/2016,14,2776,73,4/15/2017
J,1/29/2016,15,2664,72,4/15/2017
J,1/29/2016,16,2616,68,4/15/2017
J,1/29/2016,17,2504,66,4/15/2017
J,1/29/2016,18,2528,59,4/15/2017
J,1/29/2016,19,2584,58,4/15/2017
J,1/29/2016,20,2504,55,4/15/2017
J,1/29/2016,21,2296,55,4/15/2017
J,1/29/2016,22,2320,53,4/15/2017
J,1/29/2016,23,2232,53,4/15/2017
J,1/30/2016,0,2224,53,4/15/2017
J,1/30/2016,1,2128,52,4/15/2017
